"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
2,5,"Yasmin Limbert","Yasmin","IN",43,"Childminder","West Kirby, The Wirral","Family Fish Pie","Peach and Raspberry Meringue Pie",5
2,5,NA,"""Jo""",NA,NA,NA,NA,"Salmon and Asparagus Pie","Apple and Raspberry Meringue Pie",NA
2,5,NA,"Joanne","IN",NA,NA,NA,NA,NA,6
2,5,NA,"Ben",NA,NA,NA,NA,NA,NA,NA
2,5,NA,"Ian",NA,NA,NA,NA,NA,NA,NA
2,5,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,5,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,5,NA,"Urvashi",NA,NA,NA,NA,NA,NA,NA
2,6,"Holly Bell","Holly","IN",31,"Advertising executive","Leicester","Father Christmas' Baked Cheesecake","Hansel and Gretel's Croquembouche",3
2,6,"Janet Basu","Janet","IN",63,"Teacher of Modern Languages","Formby, Liverpool","Rhubarb and Ginger Baked Cheesecake","Orange and Nougatine Croquembouche",5
2,6,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Tutti Fruitti Curd Baked Cheesecake","Orange and Praline Croquembouche with Cardamom Caramel",4
2,6,"Yasmin Limbert","Yasmin","OUT",43,"Childminder","West Kirby, The Wirral","Baked Amaretto Cheesecake","Rose Croquembouche",2
2,6,NA,"""Jo""",NA,NA,NA,NA,"Rum and Raisin Baked Cheesecake","Limoncello and White Chocolate Croquembouche",NA
2,6,NA,"Joanne","STAR BAKER",NA,NA,NA,NA,NA,1
2,6,NA,"Ben",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Ian",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Jason",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,6,NA,"Urvashi",NA,NA,NA,NA,NA,NA,NA
2,7,"Holly Bell","Holly","IN",31,"Advertising executive","Leicester","White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",1
2,7,"Janet Basu","Janet","OUT",63,"Teacher of Modern Languages","Formby, Liverpool","Chocolate Amaretto Mousse Cake","Pain Aux RaisinPlain CroissantPain Au Chocolat",4
2,7,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Chocolate and Orange Mousse Cake","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes",2
2,7,NA,"""Jo""",NA,NA,NA,NA,"Raspberry & Strawberry Mousse Cake","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries",NA
2,7,NA,"Joanne","IN",NA,NA,NA,NA,NA,3
2,7,NA,"Ben",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Ian",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Jason",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Urvashi",NA,NA,NA,NA,NA,NA,NA
2,7,NA,"Yasmin",NA,NA,NA,NA,NA,NA,NA
2,8,"Holly Bell","Holly","Runner-up",31,"Advertising executive","Leicester","Banoffee Inspired Mille Feuille","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich",2
2,8,"Mary-Anne Boermans","Mary-Anne","Runner-up",45,"Housewife","Kidderminster, Worcestershire","Lemon and Ginger Mille Feuille","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub",3
2,8,NA,"""Jo""",NA,NA,NA,NA,"Raspberry and Blueberry Mille Feuille","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA
2,8,NA,"Joanne","WINNER",NA,NA,NA,NA,NA,1
2,8,NA,"Ben",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Ian",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Janet",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Jason",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Robert",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Urvashi",NA,NA,NA,NA,NA,NA,NA
2,8,NA,"Yasmin",NA,NA,NA,NA,NA,NA,NA
2,NA,"Jo Wheatley","Jo",NA,41,"Housewife","Ongar, Essex",NA,NA,NA
3,1,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Plum, Sour Cherry & Walnut","UNKNOWN",10
3,1,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Apple, Hazelnut and Calvados","Hidden Cupcake Cake",5
3,1,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Plum, Ginger & Orange","UNKNOWN",7
3,1,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",2
3,1,"John Whaite","John","IN",22,"Law student","Wigan","Toffee Apple, Orange & Cranberry","Hidden Pink Hearts Cake",11
3,1,"Manisha Parmar","Manisha","IN",27,"Nursery nurse","Leicester","Vanilla, Peach and Raspberry","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart",6
3,1,"Natasha Stringer","Natasha","OUT",36,"Midwife","Tamworth, Staffordshire","Pineapple & Passion Fruit","Mother's Day Layered Rose Cake",12
3,1,"Peter Maloney","Peter","IN",43,"Sales manager","Windsor, Berkshire","Pear, Muscat & Chocolate","Jubilee Cake",3
3,1,"Ryan Chong","Ryan","IN",38,"Photographer","Bristol","Kumquat and Orange Polenta","Hidden Flowerbed Mousse Cake",8
3,1,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Pear, Chocolate and Hazelnut","Hidden Crown Cake",1
3,1,"Stuart Marston-Smith","Stuart","IN",26,"PE teacher","Lichfield, Staffordshire","Tomato and Ginger","Lemon and Pistachio Union Flag Cake",9
3,1,"Victoria Chester","Victoria","STAR BAKER",50,"CEO of the charity Plantlife","Somerset","Pear and Pecan","Blackbird Pie Cake",4
3,2,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",4
3,2,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",8
3,2,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Lime Coriander and Coconut TortillasZaatar Naan with Dukkah","UNKNOWN",3
3,2,"James Morton","James","IN",21,"Medical student","Hillswick, Shetland Islands","Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",2
3,2,"John Whaite","John","STAR BAKER",22,"Law student","Wigan","Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",1
3,2,"Manisha Parmar","Manisha","IN",27,"Nursery nurse","Leicester","Indian FlatbreadsItalian Flatbreads","UNKNOWN",6
3,2,"Peter Maloney","Peter","OUT",43,"Sales manager","Windsor, Berkshire","Fennel and Nigella Seed NaanBannock Bread","Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",11
3,2,"Ryan Chong","Ryan","IN",38,"Photographer","Bristol","Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",5
3,2,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Toasted Coconut and Lime RotisOatcakes","UNKNOWN",10
3,2,"Stuart Marston-Smith","Stuart","IN",26,"PE teacher","Lichfield, Staffordshire","Bombay BreadChorizo and Spring Onion Naan","Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",9
3,2,"Victoria Chester","Victoria","IN",50,"CEO of the charity Plantlife","Somerset","Coriander and Lemon NaanGarlic and Parsnip Chapatis","Saffron and Golden Raisin Bagels
Porcini Bagels",7
3,2,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,3,"Brendan Lynch","Brendan","IN",63,"Recruitment consultant","Sutton Coldfield","Apple and Ginger Tarte Tatin","Blackberry, Nectarine and Dragon Fruit Tart",9
3,3,"Cathryn Dresser","Cathryn","IN",27,"Shop assistant","Pease Pottage, West Sussex","Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",3
3,3,"Danny Bryden","Danny","IN",45,"Intensive care consultant","Sheffield","Savoury Pear and Roquefort Tarte Tatin","Pineapple, Coconut and Frangipane Tart",2
3,3,"James Morton","James","STAR BAKER",21,"Medical student","Hillswick, Shetland Islands","Apple and Lavender Tarte Tatin","Rose, Lychee and Raspberry Fruit Tart",1
3,3,"John Whaite","John","IN",22,"Law student","Wigan","Apple and Vanilla Tarte Tatin with Walnut Praline","Berries, Grapes, Pomegranate, and Dragon Fruit Tart",6
3,3,"Manisha Parmar","Manisha","IN",27,"Nursery nurse","Leicester","Cinnamon, Apple and Pear Tarte Tatin","Rum and Tropical Fruit Tart",10
3,3,"Ryan Chong","Ryan","IN",38,"Photographer","Bristol","Spiced Pear Tarte Tatin","UNKNOWN",5
3,3,"Sarah-Jane Willis","Sarah-Jane","IN",28,"Vicar's wife","Bewbush, West Sussex","Caramelised Banana Tarte Tatin","French Apple Tart with Blackberry and Cassis Jam",8
3,3,"Stuart Marston-Smith","Stuart","IN",26,"PE teacher","Lichfield, Staffordshire","Pear and Almond Tarte Tatin","Raspberry Triple Chocolate Layered Tart",7
3,3,"Victoria Chester","Victoria","OUT",50,"CEO of the charity Plantlife","Somerset","Fig, Walnut and Pink Peppercorn Tarte Tatin","Tropical Fruit Tart with Black Pepper Crust",4
3,3,NA,"Natasha",NA,NA,NA,NA,NA,NA,NA
3,3,NA,"Peter",NA,NA,NA,NA,NA,NA,NA
